Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,60222179,05/20/2025 08:45,05/20/2025 17:15,EURJPY,Sell,0.030,0.00000,0.00000,162.58400,162.89300,-0.1200,0.0000,-30.9,-6.53,-0.21,"",11,00:08:29:53,,,,,,,,,,,,
,60222307,05/20/2025 08:56,05/20/2025 16:00,CHFJPY,Sell,0.030,0.00000,0.00000,173.26700,173.60600,-0.1300,0.0000,-33.9,-7.16,-0.23,"",11,00:07:03:09,,,,,,,,,,,,
,60220373,05/20/2025 07:15,05/20/2025 15:10,CADJPY,Sell,0.030,0.00000,0.00000,103.73000,103.67900,-0.0800,0.0000,5.1,0.98,0.03,"",11,00:07:54:58,,,,,,,,,,,,
,60220482,05/20/2025 07:31,05/20/2025 13:15,EURCAD,Buy,0.030,1.56197,0.00000,1.57025,1.56790,-0.1200,0.0000,-23.5,-5.18,-0.17,"",11,00:05:43:35,,,,,,,,,,,,
,60221621,05/20/2025 08:01,05/20/2025 12:30,GBPCAD,Buy,0.030,1.85833,0.00000,1.86662,1.86423,-0.1400,0.0000,-23.9,-5.28,-0.17,"",11,00:04:28:21,,,,,,,,,,,,
,60204650,05/19/2025 08:09,05/19/2025 18:27,GBPCAD,Buy,0.030,1.85006,0.00000,1.85834,1.86062,-0.1400,0.0000,22.8,4.77,0.15,"",11,00:10:18:19,,,,,,,,,,,,
,60206411,05/19/2025 10:03,05/19/2025 17:15,GBPNZD,Buy,0.030,2.25256,0.00000,2.26080,2.25892,-0.1400,0.0000,-18.8,-3.48,-0.11,"",11,00:07:11:20,,,,,,,,,,,,
,60206364,05/19/2025 10:00,05/19/2025 16:15,CADJPY,Sell,0.030,0.00000,0.00000,103.80700,103.94900,-0.0800,0.0000,-14.2,-3.02,-0.10,"",11,00:06:14:36,,,,,,,,,,,,
,60152274,05/15/2025 07:30,05/19/2025 06:00,GBPNZD,Buy,0.030,0.75572,0.00000,2.25136,2.25587,-0.1400,-0.2400,45.1,7.60,0.24,"",11,03:22:29:30,,,,,,,,,,,,
,60193934,05/16/2025 17:35,05/19/2025 02:00,AUDUSD,Sell,0.030,0.00000,0.00000,0.64039,0.64078,-0.0700,-0.0700,-3.9,-1.31,-0.04,"",11,02:08:24:52,,,,,,,,,,,,
,60003766,05/08/2025 08:16,05/19/2025 01:00,USDCAD,Buy,0.030,0.46380,0.00000,1.38392,1.39592,-0.1100,0.1800,120.0,25.86,0.83,"",11,10:16:43:30,,,,,,,,,,,,
,60177853,05/16/2025 07:00,05/19/2025 00:05,USDHKD,Buy,0.030,7.80191,0.00000,7.81018,7.81287,-0.1100,-0.0900,26.9,0.83,0.03,"",11,02:17:04:44,,,,,,,,,,,,
,60186887,05/16/2025 13:12,05/16/2025 23:52,CHFJPY,Sell,0.030,0.00000,0.00000,173.90700,174.11800,-0.1300,0.0000,-21.1,-4.47,-0.14,"",11,00:10:40:18,,,,,,,,,,,,
