Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,60221630,05/20/2025 08:01,05/20/2025 13:00,CHFJPY,Sell,0.470,174.22700,0.00000,173.42700,173.45300,-2.0300,0.0000,-2.6,-10.48,-0.02,"",11,00:04:58:16,,,,,,,,,,,,
,60212330,05/19/2025 17:01,05/19/2025 21:00,AUDCAD,Buy,0.470,0.89095,0.00000,0.89901,0.90068,-1.0900,0.0000,16.7,55.12,0.12,"",11,00:03:58:17,,,,,,,,,,,,
,60212325,05/19/2025 17:01,05/19/2025 21:00,AUDNZD,Buy,0.470,1.08220,0.00000,1.09029,1.08954,-1.0900,0.0000,-7.5,-21.95,-0.05,"",11,00:03:58:25,,,,,,,,,,,,
,60206412,05/19/2025 10:03,05/19/2025 13:00,GBPNZD,Buy,0.470,2.25263,0.00000,2.26087,2.26524,-2.2500,0.0000,43.7,119.21,0.26,"",11,00:02:56:20,,,,,,,,,,,,
,60205918,05/19/2025 09:31,05/19/2025 13:00,GBPCAD,Buy,0.470,1.85166,0.00000,1.85980,1.86797,-2.2500,0.0000,81.7,273.10,0.59,"",11,00:03:28:41,,,,,,,,,,,,
,60160950,05/15/2025 17:02,05/15/2025 21:00,NZDUSD,Sell,0.470,0.59352,0.00000,0.58709,0.58691,-0.9900,0.0000,1.8,7.47,0.02,"",11,00:03:57:50,,,,,,,,,,,,
,60160913,05/15/2025 17:00,05/15/2025 21:00,GBPNZD,Buy,0.470,2.24577,0.00000,2.26423,2.26395,-2.2500,0.0000,-2.8,-9.98,-0.02,"",11,00:03:59:22,,,,,,,,,,,,
,60160907,05/15/2025 17:00,05/15/2025 21:00,GBPCAD,Buy,0.470,1.84986,0.00000,1.86014,1.85628,-2.2500,0.0000,-38.6,-132.08,-0.29,"",11,00:03:59:32,,,,,,,,,,,,
,60152490,05/15/2025 08:00,05/15/2025 13:01,NZDUSD,Sell,0.470,0.59423,0.00000,0.58921,0.58843,-1.0000,0.0000,7.8,35.66,0.08,"",11,00:05:01:38,,,,,,,,,,,,
,60152158,05/15/2025 07:00,05/15/2025 13:01,AUDNZD,Buy,0.470,1.08698,0.00000,1.09084,1.09038,-1.0900,0.0000,-4.6,-13.81,-0.03,"",11,00:06:01:14,,,,,,,,,,,,
,60152261,05/15/2025 07:30,05/15/2025 13:01,GBPNZD,Buy,0.470,2.23942,0.00000,2.25120,2.25815,-2.2500,0.0000,69.5,189.94,0.41,"",11,00:05:31:29,,,,,,,,,,,,
,60154158,05/15/2025 10:08,05/15/2025 13:01,GBPCAD,Buy,0.470,1.85000,0.00000,1.85826,1.85736,-2.2500,0.0000,-9.0,-32.50,-0.07,"",11,00:02:52:50,,,,,,,,,,,,
,60143135,05/14/2025 17:03,05/14/2025 21:00,GBPCAD,Buy,0.470,1.84626,0.00000,1.85807,1.85525,-2.2500,0.0000,-28.2,-97.11,-0.21,"",11,00:03:56:43,,,,,,,,,,,,
,60137576,05/14/2025 12:03,05/14/2025 13:00,GBPCAD,Buy,0.470,1.84537,0.00000,1.85643,1.85702,-2.2600,0.0000,5.9,17.67,0.04,"",11,00:00:56:53,,,,,,,,,,,,
,60122115,05/13/2025 17:00,05/13/2025 21:00,EURNZD,Sell,0.460,1.90092,0.00000,1.88543,1.88222,-1.8400,0.0000,32.1,85.85,0.19,"",11,00:03:59:37,,,,,,,,,,,,
,60122193,05/13/2025 17:02,05/13/2025 21:00,NZDJPY,Buy,0.460,86.35000,0.00000,87.35900,87.65000,-0.9800,0.0000,29.1,89.70,0.20,"",11,00:03:57:21,,,,,,,,,,,,
,60122116,05/13/2025 17:00,05/13/2025 21:00,NZDCHF,Buy,0.460,0.49249,0.00000,0.49734,0.49937,-0.9800,0.0000,20.3,110.05,0.24,"",11,00:03:59:37,,,,,,,,,,,,
,60122111,05/13/2025 17:00,05/13/2025 21:00,AUDCHF,Buy,0.460,0.53480,0.00000,0.54097,0.54447,-1.0600,0.0000,35.0,190.39,0.42,"",11,00:03:59:44,,,,,,,,,,,,
,60122192,05/13/2025 17:02,05/13/2025 21:00,AUDJPY,Buy,0.460,93.77900,0.00000,95.02000,95.57100,-1.0600,0.0000,55.1,170.65,0.38,"",11,00:03:57:15,,,,,,,,,,,,
,60122189,05/13/2025 17:02,05/13/2025 21:00,GBPAUD,Sell,0.460,2.07628,0.00000,2.05888,2.05414,-2.1900,0.0000,47.4,138.98,0.31,"",11,00:03:57:16,,,,,,,,,,,,
,60124753,05/13/2025 18:01,05/13/2025 21:00,AUDNZD,Buy,0.460,1.08477,0.00000,1.08956,1.09019,-1.0700,0.0000,6.3,16.14,0.04,"",11,00:02:58:48,,,,,,,,,,,,
,60124341,05/13/2025 17:53,05/13/2025 21:00,GBPJPY,Buy,0.460,194.21200,0.00000,195.94700,196.30400,-2.1900,0.0000,35.7,109.06,0.24,"",11,00:03:06:24,,,,,,,,,,,,
,60122887,05/13/2025 17:20,05/13/2025 21:00,GBPCAD,Buy,0.460,1.83704,0.00000,1.85130,1.85484,-2.1900,0.0000,35.4,114.55,0.25,"",11,00:03:39:57,,,,,,,,,,,,
,60122275,05/13/2025 17:05,05/13/2025 21:00,EURJPY,Buy,0.460,163.72200,0.00000,164.73000,164.97600,-1.8400,0.0000,24.6,74.82,0.17,"",11,00:03:54:57,,,,,,,,,,,,
,60122191,05/13/2025 17:02,05/13/2025 21:00,AUDCAD,Buy,0.460,0.88914,0.00000,0.89969,0.90300,-1.0600,0.0000,33.1,108.10,0.24,"",11,00:03:57:14,,,,,,,,,,,,
,60110375,05/13/2025 08:23,05/13/2025 13:00,AUDCHF,Buy,0.460,0.53464,0.00000,0.54060,0.53959,-1.0600,0.0000,-10.1,-56.27,-0.13,"",11,00:04:37:03,,,,,,,,,,,,
,60111116,05/13/2025 09:45,05/13/2025 13:00,AUDJPY,Buy,0.460,93.76300,0.00000,94.87300,94.88400,-1.0600,0.0000,1.1,2.36,0.01,"",11,00:03:14:19,,,,,,,,,,,,
,60111106,05/13/2025 09:45,05/13/2025 13:00,NZDJPY,Buy,0.460,86.32400,0.00000,87.19400,87.22400,-0.9800,0.0000,3.0,8.35,0.02,"",11,00:03:15:03,,,,,,,,,,,,
,60110307,05/13/2025 08:10,05/13/2025 13:00,EURNZD,Sell,0.460,1.89970,0.00000,1.88621,1.88435,-1.8400,0.0000,18.6,48.59,0.11,"",11,00:04:49:21,,,,,,,,,,,,
,60110126,05/13/2025 08:00,05/13/2025 13:00,GBPAUD,Sell,0.460,2.07592,0.00000,2.05864,2.06074,-2.1900,0.0000,-21.0,-64.13,-0.14,"",11,00:05:00:01,,,,,,,,,,,,
,60112544,05/13/2025 11:00,05/13/2025 13:00,CHFJPY,Buy,0.460,174.93600,0.00000,175.92000,175.83300,-1.9700,0.0000,-8.7,-29.02,-0.06,"",11,00:01:59:53,,,,,,,,,,,,
,60110457,05/13/2025 08:34,05/13/2025 13:00,NZDCHF,Buy,0.460,0.49221,0.00000,0.49652,0.49604,-0.9800,0.0000,-4.8,-27.22,-0.06,"",11,00:04:25:59,,,,,,,,,,,,
,60109860,05/13/2025 07:30,05/13/2025 13:00,AUDNZD,Buy,0.460,1.08458,0.00000,1.08905,1.08775,-1.0600,0.0000,-13.0,-36.31,-0.08,"",11,00:05:30:01,,,,,,,,,,,,
,60105466,05/12/2025 21:15,05/12/2025 21:15,CADCHF,Buy,0.460,0.20705,0.00000,0.60443,0.60437,-1.1800,0.0000,-0.6,-4.44,-0.01,"",11,00:00:00:01,,,,,,,,,,,,
,60105461,05/12/2025 21:15,05/12/2025 21:15,CADCHF,Buy,0.460,0.20701,0.00000,0.60439,0.60434,-1.1800,0.0000,-0.5,-3.90,-0.01,"",11,00:00:00:01,,,,,,,,,,,,
,60105457,05/12/2025 21:15,05/12/2025 21:15,CADCHF,Buy,0.460,0.20703,0.00000,0.60439,0.60436,-1.1800,0.0000,-0.3,-2.81,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60105456,05/12/2025 21:15,05/12/2025 21:15,CADCHF,Buy,0.460,0.20697,0.00000,0.60433,0.60429,-1.1800,0.0000,-0.4,-3.35,-0.01,"",11,00:00:00:01,,,,,,,,,,,,
,60105035,05/12/2025 20:30,05/12/2025 20:30,USDJPY,Buy,0.460,51.58700,0.00000,148.59800,148.59000,-1.6600,0.0000,-0.8,-4.14,-0.01,"",11,00:00:00:01,,,,,,,,,,,,
,60105033,05/12/2025 20:30,05/12/2025 20:30,USDJPY,Buy,0.460,51.58600,0.00000,148.59900,148.59000,-1.6600,0.0000,-0.9,-4.45,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60105032,05/12/2025 20:30,05/12/2025 20:30,USDJPY,Buy,0.460,51.58900,0.00000,148.59800,148.59200,-1.6600,0.0000,-0.6,-3.52,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60104885,05/12/2025 20:16,05/12/2025 20:16,USDJPY,Buy,0.460,51.57900,0.00000,148.58900,148.58300,-1.6600,0.0000,-0.6,-3.52,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60104877,05/12/2025 20:15,05/12/2025 20:15,GBPCHF,Buy,0.460,0.37923,0.00000,1.11429,1.11418,-2.1800,0.0000,-1.1,-8.16,-0.02,"",11,00:00:00:00,,,,,,,,,,,,
,60104876,05/12/2025 20:15,05/12/2025 20:15,GBPCHF,Buy,0.460,0.37927,0.00000,1.11424,1.11418,-2.1800,0.0000,-0.6,-5.44,-0.01,"",11,00:00:00:03,,,,,,,,,,,,
,60104875,05/12/2025 20:15,05/12/2025 20:15,USDCHF,Buy,0.460,0.29223,0.00000,0.84591,0.84589,-1.6600,0.0000,-0.2,-2.75,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60104874,05/12/2025 20:15,05/12/2025 20:15,GBPCHF,Buy,0.460,0.37925,0.00000,1.11428,1.11420,-2.1800,0.0000,-0.8,-6.53,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60104871,05/12/2025 20:15,05/12/2025 20:15,GBPCHF,Buy,0.460,0.37923,0.00000,1.11428,1.11418,-2.1800,0.0000,-1.0,-7.61,-0.02,"",11,00:00:00:01,,,,,,,,,,,,
,60104870,05/12/2025 20:15,05/12/2025 20:15,USDCHF,Buy,0.460,0.29222,0.00000,0.84591,0.84588,-1.6600,0.0000,-0.3,-3.29,-0.01,"",11,00:00:00:01,,,,,,,,,,,,
,60104869,05/12/2025 20:15,05/12/2025 20:15,USDCHF,Buy,0.460,0.29220,0.00000,0.84591,0.84589,-1.6600,0.0000,-0.2,-2.75,-0.01,"",11,00:00:00:01,,,,,,,,,,,,
,60104867,05/12/2025 20:15,05/12/2025 20:15,USDCHF,Buy,0.460,0.29217,0.00000,0.84583,0.84585,-1.6600,0.0000,0.2,-0.57,0.00,"",11,00:00:00:05,,,,,,,,,,,,
,60103576,05/12/2025 19:15,05/12/2025 19:15,GBPNZD,Buy,0.460,0.75375,0.00000,2.25251,2.25225,-2.1800,0.0000,-2.6,-9.18,-0.02,"",11,00:00:00:02,,,,,,,,,,,,
,60103573,05/12/2025 19:15,05/12/2025 19:15,GBPNZD,Buy,0.460,0.75385,0.00000,2.25246,2.25235,-2.1800,0.0000,-1.1,-5.15,-0.01,"",11,00:00:00:01,,,,,,,,,,,,
,60103568,05/12/2025 19:15,05/12/2025 19:15,GBPNZD,Buy,0.460,0.75380,0.00000,2.25231,2.25230,-2.1800,0.0000,-0.1,-2.45,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60103558,05/12/2025 19:15,05/12/2025 19:15,GBPNZD,Buy,0.460,0.75374,0.00000,2.25235,2.25224,-2.1800,0.0000,-1.1,-5.15,-0.01,"",11,00:00:00:02,,,,,,,,,,,,
,60099340,05/12/2025 17:09,05/12/2025 17:09,CHFJPY,Buy,0.460,59.17800,0.00000,175.90400,175.89400,-1.9700,0.0000,-1.0,-5.08,-0.01,"",11,00:00:00:03,,,,,,,,,,,,
,60099061,05/12/2025 17:01,05/12/2025 17:01,CHFJPY,Buy,0.460,59.15800,0.00000,175.89900,175.87200,-1.9700,0.0000,-2.7,-10.35,-0.02,"",11,00:00:00:02,,,,,,,,,,,,
,60099059,05/12/2025 17:01,05/12/2025 17:01,GBPJPY,Buy,0.460,66.97200,0.00000,195.59700,195.57600,-2.1900,0.0000,-2.1,-8.71,-0.02,"",11,00:00:00:01,,,,,,,,,,,,
,60099054,05/12/2025 17:01,05/12/2025 17:01,GBPJPY,Buy,0.460,66.97100,0.00000,195.60100,195.57000,-2.1900,0.0000,-3.1,-11.81,-0.03,"",11,00:00:00:05,,,,,,,,,,,,
,60099051,05/12/2025 17:01,05/12/2025 17:01,GBPJPY,Buy,0.460,66.97700,0.00000,195.60300,195.58200,-2.1900,0.0000,-2.1,-8.71,-0.02,"",11,00:00:00:02,,,,,,,,,,,,
